euler;milst;rk1;Platen;amo of samples
0,398504;0,361694;0,359209;1,013937;0::20k::500
0,910263;0,890451;0,888326;1,215144;
0,093986;0,072731;0,070566;0,942713;
0,385095;0,369993;0,367948;0,994591;
0,226978;0,217773;0,215826;1,092825;
0,493364;0,48426;0,482326;1,126597;
0,428844;0,423687;0,421844;0,893849;
0,369249;0,363773;0,361931;0,738993;
0,242155;0,238603;0,236787;0,578511;
0,005687;0,002861;0,001072;0,709048;
0,205632;0,207672;0,209452;0,577534;
0,113116;0,114386;0,116158;0,633917;
0,031733;0,033228;0,034994;0,501196;
0,094179;0,095093;0,096865;0,446802;
0,06155;0,061945;0,063698;0,429972;
0,006159;0,005745;0,007485;0,46267;
0,036988;0,03587;0,037573;0,450125;
0,080282;0,083709;0,082071;0,449013;
0,090456;0,086079;0,087704;0,530243;
0,15868;0,153586;0,155203;0,52538;
0,130341;0,12492;0,12652;0,415869;
0,077961;0,073723;0,075354;0,392191;
0,173916;0,168068;0,169699;0,44936;
0,162079;0,156069;0,157725;0,547041;
0,157328;0,1516;0,153265;0,572396;
0,090351;0,084538;0,086197;0,596852;
0,078739;0,072152;0,073805;0,631876;
0,090615;0,084101;0,085757;0,606068;
0,010648;0,01613;0,014482;0,653765;
0,010109;0,005034;0,006705;0,625618;
0,066443;0,062001;0,063677;0,630654;
0,079451;0,074393;0,076065;0,620116;
0,08722;0,082543;0,084238;0,658009;
0,051764;0,048188;0,049897;0,581942;
0,11048;0,107479;0,1092;0,594113;
0,07053;0,067438;0,069165;0,685221;
0,037014;0,034102;0,035847;0,65511;
0,131771;0,128865;0,130593;0,607624;
0,127789;0,124853;0,126574;0,575472;
