Euler;Mils;RK1;Platen
;-nan(ind);-nan(ind);-nan(ind);-nan(ind)
-0.910263;-0.890451;-0.888326;1.215144
-0.385095;-0.369993;-0.367948;0.994591
-0.493364;-0.484260;-0.482326;1.126597
-0.369249;-0.363773;-0.361931;0.738993
-0.005687;-0.002861;-0.001072;0.709048
0.113116;0.114386;0.116158;0.633917
0.094179;0.095093;0.096865;0.446802
0.006159;0.005745;0.007485;0.462670
-0.080282;-0.083709;-0.082071;0.449013
0.158680;0.153586;0.155203;0.525380
0.077961;0.073723;0.075354;0.392191
0.162079;0.156069;0.157725;0.547041
0.090351;0.084538;0.086197;0.596852
0.090615;0.084101;0.085757;0.606068
0.010109;0.005034;0.006705;0.625618
0.079451;0.074393;0.076065;0.620116
0.051764;0.048188;0.049897;0.581942
0.070530;0.067438;0.069165;0.685221
0.131771;0.128865;0.130593;0.607624
0.114273;0.111290;0.113022;0.618521
0.070687;0.067427;0.069151;0.555369
0.115103;0.111813;0.113552;0.570044
0.217318;0.213547;0.215262;0.528040
0.240225;0.236191;0.237870;0.473999
0.228793;0.224896;0.226595;0.446301
0.269453;0.265364;0.267090;0.354700
0.319945;0.315686;0.317381;0.364218
0.328484;0.323635;0.325325;0.424202
0.344733;0.339421;0.341111;0.407849
0.367108;0.361798;0.363495;0.396061
0.363495;0.358544;0.360236;0.361883
0.314099;0.308968;0.310665;0.326504
0.327856;0.323019;0.324728;0.328490
0.292071;0.287621;0.289362;0.319096
0.307562;0.302986;0.304747;0.327875
0.368162;0.364136;0.365914;0.342892
0.361245;0.357149;0.358921;0.370663
0.323916;0.319683;0.321444;0.369110
0.331095;0.326853;0.328640;0.345967
0.314829;0.310429;0.312228;0.347336
0.326228;0.322144;0.323944;0.382614
0.336119;0.332072;0.333872;0.361670
0.314059;0.309967;0.311751;0.415703
0.344748;0.340729;0.342522;0.393051
0.316990;0.313120;0.314907;0.370705
0.315703;0.311753;0.313534;0.383469
0.317522;0.313567;0.315337;0.403612
0.303738;0.299662;0.301453;0.433762
0.293866;0.289540;0.291321;0.433928
0.301495;0.297083;0.298828;0.413412
0.290196;0.285483;0.287247;0.434248
0.276249;0.271422;0.273190;0.423165
0.268122;0.263419;0.265194;0.400584
0.275368;0.270787;0.272564;0.388394
0.280442;0.275868;0.277661;0.386994
0.308939;0.304463;0.306248;0.376906
0.305767;0.301432;0.303229;0.390753
0.300488;0.296103;0.297879;0.400011
0.274245;0.269787;0.271555;0.404530
0.306589;0.301993;0.303774;0.377270
0.286404;0.282009;0.283802;0.364357
0.287115;0.282574;0.284352;0.333243
0.286522;0.281521;0.283293;0.310616
0.260496;0.255610;0.257395;0.297310
0.289452;0.284575;0.286356;0.297116
0.253300;0.248797;0.250567;0.299815
0.268242;0.263413;0.265177;0.301840
0.257361;0.252268;0.254034;0.294251
0.277674;0.272950;0.274714;0.327980
0.279497;0.274721;0.276490;0.302878
0.287737;0.283362;0.285136;0.287442
0.271082;0.266560;0.268332;0.289622
0.278731;0.274380;0.276150;0.282418
0.286194;0.281807;0.283581;0.265356
0.292958;0.288433;0.290209;0.264763
0.289730;0.284998;0.286766;0.249756
0.285673;0.280707;0.282467;0.235609
0.267035;0.262234;0.263995;0.240223
0.260683;0.255835;0.257588;0.235537
0.268011;0.263148;0.264901;0.210371
0.264317;0.259455;0.261214;0.215407
0.273898;0.268793;0.270544;0.225727
0.281720;0.276478;0.278233;0.227635
0.263338;0.258032;0.259791;0.216490
0.260527;0.255148;0.256905;0.219544
0.284829;0.279568;0.281330;0.212300
0.274279;0.268933;0.270707;0.211256
0.263131;0.257811;0.259575;0.218563
0.254113;0.248864;0.250613;0.220703
0.272709;0.267424;0.269183;0.234568
0.285311;0.280108;0.281861;0.233319
0.284888;0.279663;0.281412;0.218218
0.292694;0.287371;0.289118;0.214638
0.297953;0.292494;0.294247;0.212632
0.302012;0.296505;0.298258;0.227932
0.313177;0.307698;0.309466;0.228651
0.306799;0.301154;0.302920;0.220600
0.303276;0.297642;0.299395;0.232321
0.283604;0.278044;0.279795;0.212540
